iter	Passed	Remaining
731	12627	4623
732	12646	4606
733	12664	4589
734	12681	4572
735	12700	4555
736	12718	4538
737	12735	4521
738	12751	4503
739	12767	4485
740	12783	4468
741	12800	4450
742	12816	4433
743	12834	4416
744	12850	4398
745	12867	4381
746	12884	4363
747	12900	4346
748	12917	4328
749	12934	4311
750	12950	4293
751	12967	4276
752	12984	4259
753	13000	4241
754	13017	4224
755	13035	4207
756	13051	4189
757	13068	4172
758	13085	4154
759	13101	4137
760	13118	4119
761	13134	4102
762	13151	4084
763	13168	4067
764	13185	4050
765	13212	4036
766	13229	4018
767	13246	4001
768	13263	3984
769	13279	3966
770	13295	3949
771	13312	3931
772	13330	3914
773	13346	3897
774	13363	3879
775	13379	3862
776	13395	3844
777	13412	3827
778	13428	3809
779	13445	3792
780	13461	3774
781	13477	3757
782	13494	3739
783	13511	3722
784	13528	3705
785	13545	3687
786	13562	3670
787	13579	3653
788	13595	3635
789	13612	3618
790	13628	3601
791	13645	3583
792	13661	3566
793	13677	3548
794	13694	3531
795	13711	3513
796	13728	3496
797	13744	3479
798	13761	3461
799	13778	3444
800	13795	3427
801	13811	3409
802	13827	3392
803	13844	3375
804	13860	3357
805	13877	3340
806	13894	3322
807	13911	3305
808	13928	3288
809	13945	3271
810	13962	3253
811	13978	3236
812	13995	3219
813	14011	3201
814	14028	3184
815	14044	3166
816	14060	3149
817	14077	3132
818	14094	3114
819	14112	3097
820	14130	3080
821	14147	3063
822	14164	3046
823	14182	3029
824	14199	3012
825	14216	2994
826	14233	2977
827	14251	2960
828	14269	2943
829	14287	2926
830	14304	2909
831	14321	2891
832	14338	2874
833	14355	2857
834	14372	2840
835	14390	2822
836	14415	2807
837	14437	2791
838	14457	2774
839	14477	2757
840	14499	2741
841	14522	2725
842	14541	2708
843	14561	2691
844	14580	2674
845	14600	2657
846	14618	2640
847	14637	2623
848	14656	2606
849	14675	2589
850	14694	2572
851	14713	2555
852	14730	2538
853	14748	2521
854	14767	2504
855	14784	2487
856	14802	2469
857	14820	2452
858	14838	2435
859	14856	2418
860	14874	2401
861	14892	2384
862	14909	2366
863	14926	2349
864	14943	2332
865	14959	2314
866	14977	2297
867	14995	2280
868	15013	2263
869	15031	2246
870	15048	2228
871	15065	2211
872	15081	2194
873	15099	2176
874	15115	2159
875	15132	2142
876	15148	2124
877	15165	2107
878	15183	2090
879	15200	2072
880	15216	2055
881	15233	2038
882	15249	2020
883	15266	2003
884	15282	1985
885	15299	1968
886	15315	1951
887	15332	1933
888	15348	1916
889	15365	1899
890	15385	1882
891	15402	1864
892	15419	1847
893	15435	1830
894	15453	1812
895	15470	1795
896	15487	1778
897	15504	1761
898	15520	1743
899	15537	1726
900	15553	1709
901	15569	1691
902	15585	1674
903	15602	1656
904	15619	1639
905	15635	1622
906	15651	1604
907	15670	1587
908	15687	1570
909	15704	1553
910	15720	1535
911	15737	1518
912	15754	1501
913	15772	1484
914	15789	1466
915	15807	1449
916	15824	1432
917	15841	1415
918	15857	1397
919	15874	1380
920	15890	1363
921	15906	1345
922	15923	1328
923	15939	1311
924	15955	1293
925	15971	1276
926	15988	1259
927	16004	1241
928	16020	1224
929	16036	1207
930	16052	1189
931	16069	1172
932	16085	1155
933	16103	1137
934	16119	1120
935	16135	1103
936	16153	1086
937	16170	1068
938	16187	1051
939	16202	1034
940	16219	1016
941	16237	999
942	16253	982
943	16270	965
944	16286	947
945	16304	930
946	16320	913
947	16337	896
948	16356	879
949	16374	861
950	16394	844
951	16413	827
952	16431	810
953	16450	793
954	16468	775
955	16487	758
956	16506	741
957	16524	724
958	16542	707
959	16559	689
960	16577	672
961	16595	655
962	16612	638
963	16630	621
964	16648	603
965	16665	586
966	16683	569
967	16700	552
968	16717	534
969	16733	517
970	16749	500
971	16766	482
972	16782	465
973	16799	448
974	16816	431
975	16832	413
976	16848	396
977	16865	379
978	16882	362
979	16898	344
980	16915	327
981	16932	310
982	16950	293
983	16969	275
984	16987	258
985	17006	241
986	17025	224
987	17044	207
988	17063	189
989	17081	172
990	17099	155
991	17117	138
992	17133	120
993	17149	103
994	17165	86
995	17181	69
996	17197	51
997	17213	34
998	17230	17
999	17248	0
