iter	Passed	Remaining
709	44525	18186
710	44589	18124
711	44653	18062
712	44712	17997
713	44770	17933
714	44836	17871
715	44892	17806
716	44968	17749
717	45034	17687
718	45100	17626
719	45156	17560
720	45209	17494
721	45272	17431
722	45335	17369
723	45400	17307
724	45454	17241
725	45517	17178
726	45576	17114
727	45642	17053
728	45697	16987
729	45757	16924
730	45830	16865
731	45888	16800
732	45952	16738
733	46016	16676
734	46080	16613
735	46143	16551
736	46204	16488
737	46269	16426
738	46334	16364
739	46389	16298
740	46443	16233
741	46504	16169
742	46573	16109
743	46628	16044
744	46690	15981
745	46752	15918
746	46814	15855
747	46880	15794
748	46934	15728
749	46996	15665
750	47063	15604
751	47129	15542
752	47186	15478
753	47252	15416
754	47316	15354
755	47385	15293
756	47447	15230
757	47506	15167
758	47574	15105
759	47634	15042
760	47704	14981
761	47752	14914
762	47811	14850
763	47887	14792
764	47946	14728
765	48012	14667
766	48065	14601
767	48135	14540
768	48201	14479
769	48266	14417
770	48330	14355
771	48389	14291
772	48455	14229
773	48514	14165
774	48575	14102
775	48637	14039
776	48700	13977
777	48794	13923
778	48854	13859
779	48921	13798
780	48968	13731
781	49033	13669
782	49098	13607
783	49160	13544
784	49231	13483
785	49306	13424
786	49358	13358
787	49432	13299
788	49498	13237
789	49554	13172
790	49620	13110
791	49679	13047
792	49749	12986
793	49822	12926
794	49884	12863
795	49943	12799
796	50007	12737
797	50061	12672
798	50128	12610
799	50180	12545
800	50251	12484
801	50315	12422
802	50379	12359
803	50442	12296
804	50507	12234
805	50573	12172
806	50635	12109
807	50692	12045
808	50751	11982
809	50811	11918
810	50868	11854
811	50924	11790
812	50987	11727
813	51054	11665
814	51115	11602
815	51180	11540
816	51245	11478
817	51302	11414
818	51368	11352
819	51428	11289
820	51494	11227
821	51558	11164
822	51621	11102
823	51686	11039
824	51742	10975
825	51806	10913
826	51862	10849
827	51918	10784
828	51980	10722
829	52035	10657
830	52101	10595
831	52168	10534
832	52220	10469
833	52290	10407
834	52354	10345
835	52421	10283
836	52483	10220
837	52531	10155
838	52599	10093
839	52658	10030
840	52723	9967
841	52780	9904
842	52848	9842
843	52914	9780
844	52973	9717
845	53035	9654
846	53095	9591
847	53156	9527
848	53221	9465
849	53281	9402
850	53339	9339
851	53407	9277
852	53494	9218
853	53562	9157
854	53622	9093
855	53687	9031
856	53758	8970
857	53819	8907
858	53878	8843
859	53946	8781
860	54004	8718
861	54073	8656
862	54132	8593
863	54186	8529
864	54247	8466
865	54311	8403
866	54368	8340
867	54433	8277
868	54496	8215
869	54562	8153
870	54625	8090
871	54695	8028
872	54751	7965
873	54817	7902
874	54881	7840
875	54944	7777
876	55021	7716
877	55080	7653
878	55158	7592
879	55218	7529
880	55280	7466
881	55342	7404
882	55400	7340
883	55470	7278
884	55531	7215
885	55590	7152
886	55656	7090
887	55709	7026
888	55779	6964
889	55839	6901
890	55897	6838
891	55972	6776
892	56020	6712
893	56086	6650
894	56141	6586
895	56204	6523
896	56275	6461
897	56341	6399
898	56402	6336
899	56456	6272
900	56524	6210
901	56582	6147
902	56641	6084
903	56701	6021
904	56756	5957
905	56820	5895
906	56885	5832
907	56941	5769
908	57005	5706
909	57067	5644
910	57124	5580
911	57180	5517
912	57248	5455
913	57316	5393
914	57375	5329
915	57440	5267
916	57503	5204
917	57565	5141
918	57629	5079
919	57686	5016
920	57748	4953
921	57814	4890
922	57879	4828
923	57945	4766
924	58006	4703
925	58078	4641
926	58134	4578
927	58192	4514
928	58251	4451
929	58317	4389
930	58434	4330
931	58498	4268
932	58564	4205
933	58622	4142
934	58691	4080
935	58771	4018
936	58845	3956
937	58906	3893
938	58971	3830
939	59030	3767
940	59100	3705
941	59164	3642
942	59226	3579
943	59285	3516
944	59347	3454
945	59405	3390
946	59469	3328
947	59533	3265
948	59595	3202
949	59652	3139
950	59712	3076
951	59779	3014
952	59843	2951
953	59907	2888
954	59971	2825
955	60034	2763
956	60093	2700
957	60164	2637
958	60219	2574
959	60288	2512
960	60354	2449
961	60419	2386
962	60476	2323
963	60542	2260
964	60601	2197
965	60662	2135
966	60727	2072
967	60787	2009
968	60831	1946
969	60880	1882
970	60951	1820
971	61011	1757
972	61088	1695
973	61152	1632
974	61216	1569
975	61271	1506
976	61333	1443
977	61404	1381
978	61457	1318
979	61524	1255
980	61582	1192
981	61642	1129
982	61710	1067
983	61768	1004
984	61832	941
985	61895	878
986	61953	816
987	62017	753
988	62085	690
989	62149	627
990	62208	564
991	62274	502
992	62349	439
993	62403	376
994	62464	313
995	62539	251
996	62604	188
997	62663	125
998	62728	62
999	62798	0
